Nested Sampling Global Log-Evidence           :   -0.862774473023740370E+03  +/-    0.147591108149417227E+00
Nested Importance Sampling Global Log-Evidence:   -0.863835841899754087E+03  +/-    0.296483771481601231E-01

Dim No.       Mean        Sigma
   1    0.681416199167752978E+00    0.182800775254772008E+00
   2    0.269171956110880961E+00    0.201980113741089928E+00
   3    0.225303940434509720E+01    0.532338900415708527E+00
   4    0.606417673202118301E+01    0.187515603422935873E+01
   5    0.320328780974155425E+01    0.168133720076267257E+01
   6    0.110682374899661506E+01    0.199632808816802454E+00
   7    0.120258295191246131E+00    0.854986800357814825E-01
   8    0.455055339007812620E+03    0.763632860009716286E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.673125383815780243E+00
   2    0.160195080473151036E+00
   3    0.232534275632909493E+01
   4    0.358107779673692850E+01
   5    0.288878384555293444E+01
   6    0.109541113531344614E+01
   7    0.527986999821441929E-03
   8    0.456674776263802073E+03

MAP Parameters
Dim No.        Parameter
   1    0.994538498724375053E+00
   2    0.609864982023297642E+00
   3    0.163083524190871620E+01
   4    0.808845747855815134E+01
   5    0.555095010255781229E+01
   6    0.857949205564377926E+00
   7    0.102510585956989739E+00
   8    0.459876023046136424E+03
