Nested Sampling Global Log-Evidence           :   -0.954315928919707630E+03  +/-    0.167459249459444015E+00
Nested Importance Sampling Global Log-Evidence:   -0.955047050594506459E+03  +/-    0.639292672959982933E-01

Dim No.       Mean        Sigma
   1    0.853899267036842380E+00    0.696659387795620089E-01
   2    0.362311676902048796E+00    0.802918792604397080E-01
   3    0.184144977777651819E+01    0.310421713379995468E+00
   4    0.530873415185546005E+01    0.393301900372043101E+00
   5    0.371833713684204881E+01    0.264581916265377415E+00
   6    0.214887740525689575E+01    0.130826188464956444E+00
   7    0.302453058824217469E+00    0.159655129789295025E+00
   8    0.397183710307406784E+03    0.163211487079082640E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.837660756816024366E+00
   2    0.363032533444627714E+00
   3    0.188828432921948042E+01
   4    0.517726813315810386E+01
   5    0.381113630862659747E+01
   6    0.215472140630200482E+01
   7    0.273688362750959036E+00
   8    0.397318062737214632E+03

MAP Parameters
Dim No.        Parameter
   1    0.821311602350455860E+00
   2    0.451285674241553303E+00
   3    0.181831850363116510E+01
   4    0.557531978162125075E+01
   5    0.353243217473531823E+01
   6    0.219051032206111840E+01
   7    0.444749631921554867E+00
   8    0.396748253330200896E+03
