Nested Sampling Global Log-Evidence           :   -0.862123982603636705E+03  +/-    0.153489337765322809E+00
Nested Importance Sampling Global Log-Evidence:   -0.862611871558235521E+03  +/-    0.501427329292309237E-01

Dim No.       Mean        Sigma
   1    0.510463952980300339E+00    0.167343237108291659E+00
   2    0.247297150938357274E+00    0.158767550087534376E+00
   3    0.217522285876966226E+01    0.202922306726810026E+00
   4    0.557949197006085651E+01    0.134833844957782301E+01
   5    0.221118779650158270E+01    0.138709782145564331E+01
   6    0.130835612496813503E+01    0.197509229524605839E+00
   7    0.119256387876812628E+00    0.831359433741556547E-01
   8    0.465669243700388847E+03    0.796193350997751992E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.416965893834587042E+00
   2    0.308097884040180736E+00
   3    0.215466858989486187E+01
   4    0.524315164138000522E+01
   5    0.169782659502821653E+01
   6    0.144134812237513543E+01
   7    0.125164495558577546E-01
   8    0.468030650258204787E+03

MAP Parameters
Dim No.        Parameter
   1    0.532791554181818006E+00
   2    0.439020783702791961E+00
   3    0.207229954588033394E+01
   4    0.657373050103211920E+01
   5    0.569967027633300871E+00
   6    0.120506155506905044E+01
   7    0.723543506342626958E-01
   8    0.463903846934223850E+03
