Nested Sampling Global Log-Evidence           :   -0.100286166100894388E+04  +/-    0.240267807306843995E+00
Nested Importance Sampling Global Log-Evidence:   -0.100479178009867655E+04  +/-    0.763237380545637913E-02

Dim No.       Mean        Sigma
   1    0.785646522828068572E+00    0.408484245558516637E-03
   2    0.818835963442135495E-01    0.901441365167821658E-03
   3    0.110932817860867994E+01    0.531488488265219371E-03
   4    0.746208657883498283E+01    0.675375398437290993E-02
   5    0.533867858566941145E+01    0.506484058045791538E-02
   6    0.347235762911309791E+03    0.196376514762507892E+00
   7    0.707669315041152602E+00    0.119740538209246586E+00
   8    0.366642609390892858E+04    0.377397918441287272E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.785749640587603659E+00
   2    0.820824083351292810E-01
   3    0.110934697652008540E+01
   4    0.746318749746483689E+01
   5    0.533787859808802700E+01
   6    0.347191881883976748E+03
   7    0.707228485918712901E+00
   8    0.366732970927959832E+04

MAP Parameters
Dim No.        Parameter
   1    0.786044733157947428E+00
   2    0.829246375203941677E-01
   3    0.110848832132789976E+01
   4    0.747240462810362782E+01
   5    0.533084854347055437E+01
   6    0.347015013887355451E+03
   7    0.695277554933541375E+00
   8    0.367007143838296906E+04
